NAME,total_pop,median_income,pov_universe,pov_below,hh_total,hh_no_vehicle,state,county,tract,geoid
"Census Tract 7074, Worcester County, Massachusetts",4547,70000.0,4528,160,1812,81,25,027,707400,25027707400
"Census Tract 7106, Worcester County, Massachusetts",8124,62100.0,8085,802,2622,271,25,027,710600,25027710600
"Census Tract 7151, Worcester County, Massachusetts",5299,173024.0,5299,60,1739,26,25,027,715100,25027715100
"Census Tract 7305, Worcester County, Massachusetts",3444,41581.0,3398,911,1463,178,25,027,730500,25027730500
"Census Tract 7318, Worcester County, Massachusetts",7322,22557.0,7220,2829,2872,1106,25,027,731800,25027731800
"Census Tract 7395, Worcester County, Massachusetts",7998,128155.0,7998,335,2656,132,25,027,739500,25027739500
"Census Tract 7402, Worcester County, Massachusetts",3251,114962.0,3162,137,1239,34,25,027,740200,25027740200
"Census Tract 7431, Worcester County, Massachusetts",7894,128796.0,7871,199,2716,47,25,027,743100,25027743100
"Census Tract 7492, Worcester County, Massachusetts",6169,84177.0,6152,833,2305,159,25,027,749200,25027749200
"Census Tract 7501, Worcester County, Massachusetts",6573,72625.0,6448,401,2360,282,25,027,750100,25027750100
"Census Tract 7503, Worcester County, Massachusetts",2770,72039.0,2628,276,1139,253,25,027,750300,25027750300
"Census Tract 7542, Worcester County, Massachusetts",3681,40417.0,3607,694,1607,226,25,027,754200,25027754200
"Census Tract 7544, Worcester County, Massachusetts",3891,60864.0,3609,238,1494,129,25,027,754400,25027754400
"Census Tract 7575, Worcester County, Massachusetts",4553,74856.0,4553,692,1787,88,25,027,757500,25027757500
"Census Tract 7312.02, Worcester County, Massachusetts",1525,,0,0,0,0,25,027,731202,25027731202
"Census Tract 7362, Worcester County, Massachusetts",3835,92500.0,3824,161,1528,70,25,027,736200,25027736200
"Census Tract 7364, Worcester County, Massachusetts",3301,87219.0,3301,126,1317,102,25,027,736400,25027736400
"Census Tract 7365, Worcester County, Massachusetts",4407,80188.0,4407,108,1863,162,25,027,736500,25027736500
"Census Tract 7081, Worcester County, Massachusetts",7766,100972.0,7754,198,2870,42,25,027,708100,25027708100
"Census Tract 7107, Worcester County, Massachusetts",1644,17105.0,1637,615,912,498,25,027,710700,25027710700
"Census Tract 7251, Worcester County, Massachusetts",4774,78750.0,4768,161,1841,36,25,027,725100,25027725100
"Census Tract 7111, Worcester County, Massachusetts",5006,88578.0,4097,110,1520,123,25,027,711100,25027711100
"Census Tract 7191, Worcester County, Massachusetts",8091,121458.0,8036,229,2777,74,25,027,719100,25027719100
"Census Tract 7261, Worcester County, Massachusetts",6136,93208.0,6064,262,2402,58,25,027,726100,25027726100
"Census Tract 7302, Worcester County, Massachusetts",5839,70845.0,5774,423,2397,130,25,027,730200,25027730200
"Census Tract 7303, Worcester County, Massachusetts",4876,56557.0,4748,649,1951,119,25,027,730300,25027730300
"Census Tract 7382.02, Worcester County, Massachusetts",6856,123902.0,6812,301,2447,198,25,027,738202,25027738202
"Census Tract 7323.01, Worcester County, Massachusetts",4662,74970.0,4662,219,1886,134,25,027,732301,25027732301
"Census Tract 7328.02, Worcester County, Massachusetts",4137,64265.0,4134,623,1488,133,25,027,732802,25027732802
"Census Tract 7328.01, Worcester County, Massachusetts",4950,68788.0,4950,489,2233,55,25,027,732801,25027732801
"Census Tract 7382.01, Worcester County, Massachusetts",4082,108442.0,4071,250,1540,46,25,027,738201,25027738201
